tests  |   ✓   1 [chrome] › src/tests/catalog/asset.spec.ts › Asset › caso 21 (6.0s)
tests  |   ✓  42 [chrome] › src/tests/catalog/record-classification.spec.ts › Record classification › caso 21 (3.7s)
tests  |   ✓  43 [chrome] › src/tests/catalog/record-classification.spec.ts › Record classification › caso 22 (3.5s)
tests  |   ✓  44 [chrome] › src/tests/catalog/record-classification.spec.ts › Record classification › caso 23 (4.3s)
tests  |   ✓  45 [chrome] › src/tests/catalog/content-hub.spec.ts › Content hub › caso 3 (17.3s)
tests  |   -  46 [chrome] › src/tests/catalog/content-hub.spec.ts › Content hub › caso 4
tests  |   ✓  47 [chrome] › src/tests/catalog/content-hub.spec.ts › Content hub › caso 5 (19.5s)
tests  |   ✓  48 [chrome] › src/tests/catalog/content-hub.spec.ts › Content hub › caso 6 (4.1s)
tests  |   ✓  49 [chrome] › src/tests/catalog/standard.spec.ts › Standard › caso 19 (4.7s)
tests  |   ✓  50 [chrome] › src/tests/catalog/standard.spec.ts › Standard › caso 20 (4.3s)
tests  |   ✓  51 [chrome] › src/tests/catalog/standard.spec.ts › Standard › caso 21 (3.8s)
tests  |   ✓  52 [chrome] › src/tests/catalog/standard.spec.ts › Standard › caso 22 (4.1s)
tests  |   ✓  53 [chrome] › src/tests/catalog/standard.spec.ts › Standard › caso 23 (4.1s)
tests  |   ✓  54 [chrome] › src/tests/catalog/standard.spec.ts › Standard › caso 24 (4.3s)
tests  |   ✓  55 [chrome] › src/tests/catalog/record.spec.ts › Record › caso 2 (10.2s)
tests  |   ✓  56 [chrome] › src/tests/catalog/record.spec.ts › Record › caso 3 (9.9s)
tests  |   ✓  57 [chrome] › src/tests/catalog/record.spec.ts › Record › caso 4 (10.4s)
tests  |   ✓  58 [chrome] › src/tests/catalog/record.spec.ts › Record › caso 5 (18.3s)
tests  |   ✓  59 [chrome] › src/tests/catalog/record.spec.ts › Record › caso 6 (7.5s)
tests  |   ✓  60 [chrome] › src/tests/catalog/record.spec.ts › Record › caso 7 (11.2s)
tests  |   ✓  61 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 22 (4.7s)
tests  |   ✓  62 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 23 (4.0s)
tests  |   ✓  63 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 24 (3.8s)
tests  |   ✓  64 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 25 (3.4s)
tests  |   ✓  65 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 26 (3.4s)
tests  |   ✓  66 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 27 (3.5s)
tests  |   ✓  67 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 28 (3.8s)
tests  |   ✓  68 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 29 (4.4s)
tests  |   ✓  69 [chrome] › src/tests/catalog/zone.spec.ts › Zone › caso 30 (4.2s)
tests  |   ✓  70 [chrome] › src/tests/catalog/scenario.spec.ts › Scenario › caso 5 (6.4s)
tests  |   ✓  71 [chrome] › src/tests/catalog/scenario.spec.ts › Scenario › caso 6 (6.9s)
tests  |   ✓  72 [chrome] › src/tests/catalog/scenario.spec.ts › Scenario › caso 7 (5.6s)
tests  |   ✓  73 [chrome] › src/tests/catalog/scenario.spec.ts › Scenario › caso 8 (5.6s)
tests  |   ✓  74 [chrome] › src/tests/catalog/scenario.spec.ts › Scenario › caso 9 (6.3s)
tests  |   ✓  75 [chrome] › src/tests/catalog/scenario.spec.ts › Scenario › caso 10 (6.1s)
tests  |   -  76 [chrome] › src/tests/catalog/finding.spec.ts › Finding › caso 5
tests  |   ✓  77 [chrome] › src/tests/catalog/finding.spec.ts › Finding › caso 6 (13.2s)
tests  |   ✓  78 [chrome] › src/tests/catalog/finding.spec.ts › Finding › caso 7 (5.8s)
tests  |   ✓  79 [chrome] › src/tests/catalog/finding.spec.ts › Finding › caso 8 (6.2s)
tests  |   ✓  80 [chrome] › src/tests/catalog/finding.spec.ts › Finding › caso 9 (6.4s)
